state,unenforced,postroe,intent,notsecured,protectedThroughout,protectedPrior
Alabama,"X†,‡",,,X,,
Arizona,X†,,,,,
Arkansas,X,X♌︎,X,,,
California,,,,,,X⌘
Colorado,,,,,X,
Connecticut,,,,,,X⌘
Delaware,,,,,,X⌘
District of Columbia,,,,,X,
Georgia,,,,,,
Hawaii,,,,,,X
Idaho,,X,,,,
Illinois,,,,,,X
Iowa,,,,,,
Kansas,,,X,,,
Kentucky,,s,X,,,
Louisiana,,X,X,X,,
Maine,,,,,,X
Maryland,,,,,,X
Massachusetts,,,,,,X
Michigan,s†,,,,,
Mississippi,"X†,Ψ",X,,,,
Missouri,,X,X,,,
Nevada,,,,,,X,
New Jersey,,,,,X,,
New Mexico,,,,,,
New York,,,,,,X⌘
North Carolina,,,,,,
North Dakota,,X,X,,,
Ohio,,,X,,,
Oregon,,,,,X,
Oklahoma,X†,X♌︎,,,,
Rhode Island,,,,,,X
South Carolina,,,,,,
South Dakota,,X,,,,
Tennessee,,X,,X,,
Texas,q,X,,,,
Utah,,s,,,,
Vermont,,,,,X,
Washington,,,,,,X⌘
West Virginia,X†,,,X,,
Wisconsin,X†,,,,,
Wyoming,,X,,,,
